GISJOIN,GEOGYEAR,STATE,STATEA,COUNTY,COUNTYA,TRACTA,OwW 2000,OwW 2000 %,OwW 2010,OwW 2010 %,OwB 2000,OwB 2000 %,OwB 2010,OwB 2010 %,OwAIAN 2000,OwAIAN 2000 %,OwAIAN 2010,OwAIAN 2010 %,OwA 2000,OwA 2000 %,OwA 2010,OwA 2010 %,OwNHPI 2000,OwNHPI 2000 %,OwNHPI 2010,OwNHPI 2010 %,OwOth 2000,OwOth 2000 %,OwOth 2010,OwOth 2010 %,Ow2+ 2000,Ow2+ 2000 %,Ow2+ 2010,Ow2+ 2010 %,RW 2000,RW 2000 %,RW 2010,RW 2010 %,RB 2000,RB 2000 %,RB 2010,RB 2010 +,RAIAN 2000,RAIAN 2000 %,RAIAN 2010,RAIAN 2010 %,RA 2000,RA 2000 %,RA 2010,RA 2010 %,RNHPI 2000,RNHPI 2000 %,RNHPI 2010,RNHPI 2010 %,ROth 2000,ROth 2000 %,ROth 2010,ROth 2010 %,R2+ 2000,R2+ 2000 %,R2+ 2010,R2+ 2010,W 2000 #,W 2010 #,B 2000 #,B 2010 #,AIAN 2000 #,AIAN 2010 #,A 2000 #,A 2010 #,NHPI 2000 #,NHPI 2010 #,Oth 2000 #,Oth 2010 #,2+ 2000 #,2+ 2010 #
G2700530000101,2010,Minnesota,27,Hennepin County,53,101,742.02,0.928569641,599,0.927244582,145.01,0.838111201,138,0.6359447,10,0.833333333,8,0.666666667,77.01,0.939031825,77,0.712962963,0,0,0,0,13,0.8125,26,0.742857143,17,0.944444444,23,0.741935484,57.08,0.071430359,47,0.072755418,28.01,0.161888799,79,0.3640553,2,0.166666667,4,0.333333333,5,0.060968175,31,0.287037037,0,0,0,0,3,0.1875,9,0.257142857,1,0.055555556,8,0.258064516,799.1,646,173.02,217,12,12,82.01,108,0,0,16,35,18,31
G2700530000102,2010,Minnesota,27,Hennepin County,53,102,1128,0.899521531,856,0.805268109,136,0.618181818,182,0.441747573,13,0.619047619,18,0.818181818,78,0.857142857,76,0.737864078,1,1,0,0,17,0.944444444,25,0.625,33,0.804878049,28,0.682926829,126,0.100478469,207,0.194731891,84,0.381818182,230,0.558252427,8,0.380952381,11,0.379310345,13,0.142857143,27,0.262135922,0,0,0,0,1,0.055555556,15,0.375,8,0.195121951,13,0.317073171,1254,1063,220,412,21,29,91,103,1,0,18,40,41,41
G2700530000300,2010,Minnesota,27,Hennepin County,53,300,1049,0.916958042,968,0.912346843,114,0.721518987,97,0.524324324,7,0.875,7,0.388888889,22,0.88,16,0.888888889,0,0,0,0,7,0.777777778,6,0.6,19,0.730769231,27,0.675,95,0.083041958,93,0.087653157,44,0.278481013,88,0.475675676,1,0.125,1,0.125,3,0.12,2,0.111111111,0,0,0,0,2,0.222222222,4,0.4,7,0.269230769,13,0.325,1144,1061,158,185,8,8,25,18,0,0,9,10,26,40
G2700530000601,2010,Minnesota,27,Hennepin County,53,601,1587,0.851851852,1454,0.841435185,21,0.272727273,30,0.25862069,12,0.5,6,0.857142857,41,0.803921569,37,0.804347826,2,1,1,1,11,0.458333333,23,0.534883721,18,0.529411765,29,0.630434783,276,0.148148148,274,0.158564815,56,0.727272727,86,0.74137931,12,0.5,8,0.571428571,10,0.196078431,9,0.195652174,3,0.6,0,0,13,0.541666667,20,0.465116279,16,0.470588235,17,0.369565217,1863,1728,77,116,24,14,51,46,5,1,24,43,34,46
G2700530000603,2010,Minnesota,27,Hennepin County,53,603,1177,0.963963964,1101,0.937021277,13,0.8125,10,0.625,6,0.857142857,4,0.333333333,14,0.7,18,0.857142857,0,0,0,0,7,1,12,0.923076923,7,1,14,1,44,0.036036036,74,0.062978723,3,0.1875,6,0.375,1,0.142857143,0,0,6,0.3,3,0.142857143,0,0,0,0,0,0,1,0.076923077,0,0,0,0,1221,1175,16,16,7,4,20,21,0,0,7,13,7,14
G2700530001100,2010,Minnesota,27,Hennepin County,53,1100,509,0.63545568,449,0.634180791,10,0.3125,5,0.098039216,2,0.285714286,1,1,6,0.5,5,0.384615385,0,0,0,0,5,0.384615385,8,0.296296296,12,0.444444444,14,0.451612903,292,0.36454432,259,0.365819209,22,0.6875,46,0.901960784,5,0.714285714,6,0.857142857,6,0.5,8,0.615384615,0,0,0,0,8,0.615384615,19,0.703703704,15,0.555555556,17,0.548387097,801,708,32,51,7,7,12,13,0,0,13,27,27,31
G2700530001700,2010,Minnesota,27,Hennepin County,53,1700,449,0.580103359,357,0.558685446,10,0.222222222,9,0.042857143,3,0.166666667,4,0.4,13,0.722222222,12,0.705882353,0,0,0,0,6,0.4,14,0.318181818,5,0.208333333,8,0.266666667,325,0.419896641,282,0.441314554,35,0.777777778,201,0.957142857,15,0.833333333,12,0.75,5,0.277777778,5,0.294117647,0,0,0,0,9,0.6,30,0.681818182,19,0.791666667,22,0.733333333,774,639,45,210,18,16,18,17,0,0,15,44,24,30
G2700530002200,2010,Minnesota,27,Hennepin County,53,2200,91,0.554878049,83,0.685950413,67,0.30733945,50,0.297619048,2,0.333333333,2,0.142857143,23,0.433962264,21,0.328125,0,0,0,0,2,0.181818182,7,0.466666667,5,0.384615385,8,0.5,73,0.445121951,38,0.314049587,151,0.69266055,118,0.702380952,4,0.666666667,4,0.666666667,30,0.566037736,43,0.671875,0,0,0,0,9,0.818181818,8,0.533333333,8,0.615384615,8,0.5,164,121,218,168,6,6,53,64,0,0,11,15,13,16
G2700530002400,2010,Minnesota,27,Hennepin County,53,2400,357,0.449622166,330,0.398550725,5,0.119047619,5,0.033333333,5,0.208333333,3,0.428571429,7,0.4375,6,0.375,0,0,1,0.5,9,0.346153846,12,0.279069767,6,0.214285714,6,0.214285714,437,0.550377834,498,0.601449275,37,0.880952381,145,0.966666667,19,0.791666667,9,0.75,9,0.5625,10,0.625,1,1,1,1,17,0.653846154,31,0.720930233,22,0.785714286,22,0.785714286,794,828,42,150,24,12,16,16,1,2,26,43,28,28
G2700530002700,2010,Minnesota,27,Hennepin County,53,2700,115,0.858208955,149,0.809782609,402,0.67,276,0.549800797,3,0.75,4,0.307692308,27,0.36,23,0.442307692,0,0,0,0,7,0.777777778,9,0.45,13,0.5,17,0.548387097,19,0.141791045,35,0.190217391,198,0.33,226,0.450199203,1,0.25,7,0.636363636,48,0.64,29,0.557692308,0,0,0,0,2,0.222222222,11,0.55,13,0.5,14,0.451612903,134,184,600,502,4,11,75,52,0,0,9,20,26,31
G2700530003200,2010,Minnesota,27,Hennepin County,53,3200,125,0.932835821,131,0.867549669,305,0.715962441,192,0.54084507,3,0.5,4,0.363636364,20,0.606060606,10,0.476190476,0,0,0,0,8,1,10,0.555555556,14,0.736842105,19,0.703703704,9,0.067164179,20,0.132450331,121,0.284037559,163,0.45915493,3,0.5,2,0.333333333,13,0.393939394,11,0.523809524,0,0,0,0,0,0,8,0.444444444,5,0.263157895,8,0.296296296,134,151,426,355,6,6,33,21,0,0,8,18,19,27
